Disease Name,Treatment 1,Treatment 2,Treatment 3
Alopecia Areata,"Corticosteroids (topical, intralesional, or systemic)",Minoxidil,Immunosuppressants
Contact Dermatitis,Topical corticosteroids,Antihistamines,Avoidance of irritants
Folliculitis,Warm compresses,Topical antibiotics,Oral antibiotics (severe cases)
Head Lice,"Over-the-counter lice medications (e.g., permethrin, benzyl benzoate)",Fine-toothed comb,Wash bedding and clothing in hot water
Lichen Planus,Topical corticosteroids,Antimalarial drugs,Systemic corticosteroids (severe cases)
Male Pattern Baldness,Minoxidil,Finasteride,Hair transplant
Psoriasis,Topical corticosteroids,"Light therapy (e.g., UVB, narrowband UVB)","Systemic medications (e.g., methotrexate, cyclosporine)"
Seborrheic Dermatitis,"Topical antifungal medications (e.g., ketoconazole)",Topical corticosteroids,Shampoo containing selenium sulfide or zinc pyrithione
Telogen Effluvium,Observation (often resolves on its own),Iron supplements (if iron-deficient),Stress management
Tinea Capitis,"Oral antifungal medications (e.g., griseofulvin, terbinafine)",Topical antifungal shampoo,Selenium sulfide shampoo